,Enrichment,FuelTemperature,WaterTemperature,Pitch,FuelRadius,WaterDensity,Keff,Std_dev
49,3.6,653.5,343.669444,1.251,0.535,0.984,1.18331,0.00041
50,5.95,1783.3,367.085384,1.578,0.45,0.969,1.53109,0.00037
51,6.03,1472.5,303.118242,1.85,0.335,1.002,1.44512,0.00041
52,7.54,976.5,429.63352,1.099,0.299,0.919,1.56539,0.00039
53,6.44,660.5,484.628356,1.987,0.849,0.861,1.30857,0.00043
54,6.77,1518.4,304.175261,1.156,0.453,1.002,1.3438,0.0004
55,6.49,1587.2,441.953332,1.048,0.276,0.907,1.53236,0.00036
56,7.93,1497.0,520.765685,1.858,0.8,0.814,1.2771,0.00044
57,1.96,908.2,571.465739,1.442,0.504,0.729,1.2072,0.00044
58,5.77,993.0,577.539503,1.209,0.279,0.716,1.53166,0.00047
59,4.21,1050.9,348.238276,1.329,0.56,0.981,1.22355,0.00043
60,2.49,666.5,338.933488,1.823,0.224,0.987,0.82473,0.00032
61,1.71,479.5,348.027711,1.294,0.435,0.981,1.22521,0.00043
62,4.71,1012.1,363.030734,1.044,0.273,0.972,1.48867,0.00042
63,1.71,669.3,511.478002,1.617,0.365,0.827,1.15003,0.0004
64,8.18,696.9,598.343942,1.14,0.382,0.664,1.42703,0.00039
65,1.23,1736.0,395.675611,1.213,0.375,0.948,1.07167,0.00037
66,4.79,1796.4,310.772108,1.222,0.399,1.0,1.43922,0.00042
67,1.55,1191.2,350.683967,1.693,0.458,0.98,1.14682,0.00042
68,5.43,1457.3,442.879556,1.333,0.214,0.906,1.39098,0.00034
69,5.37,1430.0,593.267476,1.424,0.44,0.678,1.436,0.00044
70,1.76,1545.6,378.731587,1.767,0.715,0.961,1.1408,0.00044
71,4.47,498.4,473.821214,1.747,0.531,0.874,1.49489,0.00036
72,4.54,1320.6,468.515698,1.817,0.612,0.88,1.44006,0.00043
73,3.53,1342.2,351.212963,1.565,0.434,0.98,1.42924,0.00035
74,7.87,775.3,449.07762,1.686,0.698,0.9,1.35622,0.00043
75,3.54,1226.2,403.128834,1.556,0.318,0.942,1.35285,0.00036
76,7.59,1307.8,396.564709,1.009,0.34,0.948,1.45857,0.00041
77,2.5,1685.8,512.055645,1.446,0.364,0.827,1.31243,0.00036
78,6.08,1164.3,345.433407,1.397,0.499,0.983,1.44607,0.00041
79,8.89,1140.6,380.392048,1.505,0.308,0.96,1.60517,0.00037
80,2.88,1276.7,354.407911,1.087,0.389,0.978,1.28987,0.00044
81,4.5,1638.6,558.882464,1.917,0.871,0.753,1.08766,0.00041
82,4.44,1786.6,599.387058,1.657,0.402,0.661,1.47053,0.0004
83,8.91,941.6,567.010662,1.857,0.736,0.738,1.37541,0.00042
84,5.98,846.6,515.965782,1.747,0.48,0.821,1.54982,0.00037
85,1.2,513.1,320.261539,1.956,0.679,0.996,1.13021,0.00041
86,1.61,1644.5,380.548932,1.811,0.641,0.96,1.18642,0.00042
87,8.78,1156.7,395.465234,1.963,0.624,0.949,1.57529,0.00037
88,2.9,1178.9,401.782504,1.698,0.322,0.943,1.23889,0.00042
89,1.05,1740.3,436.678528,1.524,0.376,0.912,0.9769,0.00038
90,7.22,1018.4,441.572012,1.865,0.634,0.908,1.51489,0.00044
91,8.21,1511.1,394.679976,1.334,0.413,0.949,1.54119,0.00039
92,3.99,783.6,511.743712,1.764,0.648,0.827,1.36811,0.00045
93,5.89,1010.2,448.015216,1.166,0.437,0.901,1.36208,0.00045
94,2.96,1185.8,480.754792,1.701,0.73,0.866,1.14511,0.00042
95,2.57,988.3,487.478417,1.27,0.215,0.858,1.15378,0.00036
96,8.09,936.8,557.882813,1.802,0.399,0.755,1.61035,0.00043
97,3.05,1336.4,564.489967,1.975,0.886,0.743,1.04851,0.0004
98,7.46,1290.7,373.415119,1.635,0.379,0.965,1.58656,0.0004
99,1.76,1292.1,308.374879,1.499,0.532,1.0,1.21822,0.00044
100,6.81,774.0,498.049138,1.782,0.55,0.845,1.54321,0.0004
101,8.39,1294.3,583.252467,1.597,0.628,0.703,1.33199,0.00042
102,2.35,422.2,364.157729,1.742,0.781,0.971,1.1076,0.0004
103,8.73,1793.1,584.726582,1.022,0.421,0.7,1.20725,0.00041
104,5.48,997.5,521.17994,1.104,0.397,0.814,1.35716,0.00045
105,8.38,1521.8,316.475507,1.716,0.409,0.997,1.60423,0.00038
106,3.84,1437.8,434.303985,1.975,0.671,0.915,1.4174,0.00044
107,4.07,677.2,569.054702,1.255,0.509,0.734,1.1952,0.00042
108,7.76,996.5,469.343216,1.555,0.669,0.879,1.28285,0.00042
109,4.45,490.2,330.608393,1.677,0.635,0.991,1.40564,0.00038
110,5.7,1559.9,516.019497,1.812,0.494,0.821,1.53086,0.00039
111,2.71,1420.5,486.427836,1.734,0.319,0.859,1.2127,0.00039
112,6.85,382.4,357.680596,1.136,0.427,0.976,1.42068,0.00041
113,6.74,1700.7,579.949351,1.27,0.485,0.711,1.29125,0.00047
114,1.17,1395.7,587.858249,1.458,0.413,0.692,1.07559,0.00036
115,4.64,896.9,479.362355,1.327,0.526,0.867,1.28531,0.00043
116,3.54,1079.2,566.835297,1.715,0.369,0.738,1.40668,0.00035
117,8.72,1743.8,390.885541,1.204,0.324,0.952,1.58197,0.00036
118,3.32,838.6,581.370076,1.185,0.391,0.708,1.32447,0.00039
119,6.69,747.6,396.505396,1.672,0.736,0.948,1.26995,0.0004
120,4.18,1719.1,534.508358,1.531,0.268,0.794,1.37154,0.00037
121,5.61,427.6,382.093894,1.256,0.366,0.959,1.5358,0.00039
122,1.1,1188.8,502.382127,1.108,0.404,0.839,1.00395,0.00041
123,7.35,1107.0,315.931646,1.616,0.513,0.998,1.55018,0.0004
124,2.93,1272.1,348.948372,1.443,0.576,0.981,1.2381,0.00039
125,6.9,725.7,529.489869,1.524,0.503,0.802,1.49149,0.00035
126,6.44,710.8,480.440972,1.538,0.58,0.866,1.40602,0.00045
127,2.83,1186.5,456.905248,1.963,0.81,0.892,1.2144,0.00038
128,3.58,1731.4,547.604036,1.706,0.64,0.773,1.28566,0.00039
129,3.97,1198.6,418.098827,1.274,0.529,0.93,1.20746,0.0004
130,4.31,521.3,496.649686,1.422,0.352,0.847,1.48895,0.00036
131,2.78,1416.5,514.593431,1.846,0.348,0.823,1.24992,0.00035
132,8.68,414.6,391.324836,1.476,0.63,0.952,1.34755,0.00039
133,7.99,1465.6,405.952715,1.175,0.265,0.94,1.58963,0.00041
134,7.3,1116.9,542.837151,1.28,0.524,0.781,1.26853,0.00043
135,1.4,752.4,322.019833,1.184,0.283,0.995,1.066,0.00035
136,6.72,880.1,390.755666,1.86,0.492,0.952,1.57966,0.00035
137,5.76,1167.7,519.030111,1.376,0.333,0.817,1.53789,0.00039
138,7.45,1332.9,504.118742,1.359,0.407,0.837,1.52958,0.00042
139,7.07,972.7,305.958791,1.317,0.564,1.001,1.28077,0.00042
140,6.26,1297.7,548.38745,1.867,0.626,0.772,1.4677,0.00038
141,7.83,1749.8,316.289162,1.222,0.422,0.997,1.47026,0.0004
142,2.23,995.2,415.048437,1.727,0.421,0.932,1.26376,0.00039
143,3.81,1492.0,345.863905,1.687,0.744,0.983,1.1676,0.00045
144,8.87,1682.7,449.745713,1.86,0.541,0.9,1.58752,0.00035
145,6.33,1020.5,356.133361,1.001,0.334,0.976,1.45715,0.0004
146,1.87,484.5,407.719874,1.937,0.873,0.938,1.05625,0.00042
147,5.65,1083.5,378.644159,1.31,0.476,0.961,1.41223,0.00042
148,3.8,1339.7,408.065735,1.282,0.365,0.938,1.4369,0.0004
149,4.88,1178.5,477.627024,1.826,0.681,0.869,1.38818,0.00047
150,8.15,923.9,402.034238,1.131,0.246,0.943,1.59993,0.00038
151,3.77,789.4,548.667013,1.897,0.673,0.771,1.37574,0.0004
152,3.46,1772.0,523.595187,1.513,0.55,0.81,1.30203,0.00044
153,3.36,1040.0,351.999599,1.971,0.546,0.979,1.43148,0.0004
154,2.54,750.7,455.463435,1.301,0.539,0.894,1.1435,0.00045
155,8.33,715.9,340.104326,1.648,0.635,0.986,1.45505,0.0004
156,7.14,609.6,336.344788,1.346,0.584,0.988,1.27866,0.00041
157,1.28,1687.3,406.220363,1.566,0.48,0.94,1.11434,0.00039
158,2.48,1550.7,412.836997,1.739,0.497,0.934,1.33688,0.00042
159,1.06,1660.3,389.2393,1.677,0.522,0.953,1.05614,0.00037
160,4.18,1611.1,525.201257,1.641,0.49,0.808,1.44633,0.00045
161,1.22,617.1,388.213247,1.112,0.428,0.954,1.04209,0.00039
162,2.26,573.3,345.044578,1.176,0.342,0.983,1.3178,0.00037
163,6.55,1739.9,335.711277,1.387,0.424,0.988,1.5224,0.00036
164,1.2,966.6,416.587417,1.353,0.405,0.931,1.08705,0.00036
165,1.1,1640.2,350.516316,1.034,0.41,0.98,0.95855,0.00038
166,6.76,1638.3,514.970019,1.943,0.728,0.823,1.40838,0.00042
167,8.15,1310.8,507.477296,1.269,0.338,0.833,1.57366,0.00037
168,2.61,830.6,507.871153,1.072,0.303,0.832,1.33173,0.00036
169,2.63,1784.2,314.930161,1.335,0.412,0.998,1.33229,0.00035
170,2.67,894.2,503.617313,1.101,0.422,0.838,1.19637,0.00044
171,1.93,798.2,498.227993,1.686,0.543,0.845,1.2589,0.00037
172,2.62,1677.0,469.215712,1.918,0.408,0.879,1.26652,0.00039
173,5.24,1440.7,386.404624,1.547,0.464,0.956,1.50288,0.00041
174,8.44,1391.0,547.685535,1.044,0.373,0.773,1.37865,0.00038
175,5.88,1616.0,444.462993,1.821,0.722,0.905,1.35511,0.00041
176,5.72,1676.0,322.987535,1.13,0.323,0.995,1.50763,0.00038
177,7.27,1117.1,344.810924,1.516,0.455,0.983,1.56207,0.00041
178,1.49,966.8,461.601417,1.693,0.239,0.887,0.75002,0.0003
179,6.02,1743.4,424.720624,1.989,0.677,0.924,1.48509,0.00042
180,8.41,1612.3,534.116489,1.48,0.571,0.795,1.36257,0.00039
181,1.52,1680.4,422.540624,1.054,0.331,0.926,1.14108,0.00046
182,3.72,859.6,596.627473,1.162,0.452,0.669,1.18499,0.00044
183,5.45,446.4,435.9613,1.269,0.383,0.913,1.51501,0.00038
184,4.6,1620.0,345.206339,1.604,0.57,0.983,1.41648,0.0004
185,3.96,1630.7,353.484821,1.659,0.726,0.978,1.1804,0.00044
186,1.68,666.6,492.289988,1.998,0.657,0.852,1.236,0.0004
187,4.71,971.6,433.404797,1.588,0.597,0.916,1.37738,0.00043
188,6.71,1131.7,368.485792,1.293,0.526,0.968,1.32141,0.00047
189,6.47,1627.8,594.780162,1.914,0.617,0.674,1.46184,0.00036
190,7.69,1309.0,546.345637,1.085,0.337,0.775,1.47678,0.0004
191,2.06,1625.3,441.141812,1.411,0.623,0.908,1.00103,0.0004
192,1.08,1018.2,517.764278,1.286,0.53,0.819,0.93171,0.00039
193,3.95,598.5,498.795734,1.146,0.302,0.844,1.45449,0.00045
194,3.99,734.7,549.526404,1.979,0.526,0.77,1.47699,0.00039
195,2.12,515.5,377.822077,1.324,0.493,0.962,1.24119,0.00042
196,4.85,1515.1,334.795523,1.162,0.373,0.989,1.44887,0.00043
197,1.27,469.6,306.603417,1.246,0.433,1.001,1.13375,0.00042
198,6.07,875.4,517.357993,1.444,0.45,0.819,1.50019,0.00038
199,4.51,1316.8,325.792534,1.368,0.472,0.993,1.42155,0.0004
200,1.74,1063.7,489.295021,1.057,0.456,0.856,0.93633,0.0004
201,8.4,1736.4,442.192833,1.59,0.237,0.907,1.48467,0.00041
202,6.43,588.7,311.536076,1.848,0.732,0.999,1.42413,0.0004
203,4.72,1061.5,368.746319,1.252,0.439,0.968,1.41086,0.00041
204,6.62,662.7,578.213099,1.693,0.344,0.715,1.57153,0.00039
205,4.49,1370.7,366.739939,1.874,0.374,0.97,1.41235,0.00038
206,8.45,580.3,337.425082,1.057,0.426,0.987,1.35363,0.00034
207,3.31,1402.0,569.458275,1.687,0.771,0.733,0.9984,0.00041
208,8.63,1481.9,494.682812,1.276,0.545,0.849,1.25162,0.00035
209,4.68,1178.7,371.738926,1.11,0.435,0.966,1.28992,0.00041
210,3.85,1643.7,423.309558,1.543,0.526,0.925,1.39539,0.00038
211,6.48,1398.8,303.266311,1.229,0.462,1.002,1.39266,0.00041
212,6.77,1337.6,409.229682,1.952,0.657,0.937,1.51525,0.00044
213,6.24,1658.3,363.517047,1.785,0.58,0.972,1.51156,0.00035
214,1.91,952.3,502.804374,1.381,0.386,0.839,1.24608,0.00036
215,4.81,1750.6,462.842153,1.1,0.452,0.886,1.19044,0.00044
216,3.01,1015.6,347.048983,1.746,0.583,0.982,1.38399,0.00041
217,7.39,1543.3,338.023096,1.772,0.77,0.987,1.29488,0.00038
218,3.1,842.7,512.608226,1.504,0.421,0.826,1.4,0.00039
219,8.38,697.6,448.368803,1.399,0.452,0.901,1.5398,0.00044
220,1.95,661.3,569.409886,1.406,0.31,0.733,1.22087,0.00038
221,8.18,824.3,406.096062,1.174,0.453,0.94,1.38962,0.00041
222,6.03,1084.0,410.871339,1.327,0.592,0.936,1.17363,0.00039
223,3.38,803.8,550.548034,1.721,0.51,0.768,1.41895,0.00045
224,3.09,633.2,513.323884,1.655,0.299,0.825,1.27784,0.00039
225,7.06,1588.0,438.478991,1.159,0.343,0.911,1.52033,0.00039
226,4.49,662.2,439.907107,1.489,0.328,0.909,1.47457,0.00041
227,8.28,1439.4,338.958848,1.355,0.448,0.987,1.51954,0.00038
228,2.87,376.4,369.18704,1.612,0.487,0.968,1.40364,0.0004
229,2.91,723.4,385.185178,1.391,0.242,0.956,1.19171,0.0004
230,3.75,1568.6,588.059614,1.679,0.417,0.692,1.43439,0.00036
231,5.34,1415.1,334.285797,1.113,0.39,0.989,1.40785,0.00044
232,6.55,822.6,571.026926,1.814,0.632,0.73,1.4459,0.00043
233,1.9,759.6,300.677912,1.613,0.386,1.003,1.1928,0.00041
234,6.5,1029.5,527.14667,1.746,0.601,0.805,1.46453,0.00037
235,5.13,1761.2,335.391757,1.144,0.321,0.988,1.48974,0.00044
236,1.01,850.8,338.317939,1.066,0.369,0.987,1.01684,0.00042
237,2.43,659.9,415.528397,1.71,0.458,0.932,1.32968,0.00041
238,2.28,1045.1,350.995192,1.151,0.477,0.98,1.11881,0.00042
239,4.56,624.5,401.93112,1.737,0.457,0.943,1.50942,0.00038
240,3.59,1341.0,367.755722,1.232,0.434,0.969,1.35395,0.00034
241,5.92,1000.7,427.982393,1.546,0.483,0.921,1.51529,0.00036
242,1.41,1469.7,320.70119,1.235,0.224,0.996,0.8799,0.00038
243,1.89,768.7,372.289302,1.824,0.792,0.966,1.10057,0.00044
244,6.59,1048.3,375.469293,1.703,0.66,0.964,1.41285,0.0004
245,1.76,928.5,425.843339,1.966,0.69,0.923,1.23968,0.00044
246,1.16,800.3,497.189743,1.532,0.527,0.846,1.09385,0.00036
247,4.63,531.1,500.812411,1.461,0.436,0.841,1.48753,0.00039
248,3.13,1333.3,476.683239,1.129,0.415,0.871,1.25957,0.00045
249,4.68,1321.8,513.539369,1.195,0.235,0.825,1.45142,0.00039
250,6.56,879.0,418.787687,1.535,0.549,0.929,1.46204,0.00046
251,4.91,1398.8,447.79383,1.408,0.577,0.902,1.25782,0.00034
252,1.49,1786.9,378.144528,1.9,0.589,0.962,1.17422,0.0004
253,2.43,806.8,485.099801,1.444,0.533,0.861,1.25215,0.00045
254,6.3,1308.2,520.48365,1.02,0.424,0.815,1.18936,0.0004
255,1.7,1718.3,449.596409,1.91,0.408,0.9,1.08965,0.00036
256,1.47,1163.7,586.207177,1.746,0.643,0.696,1.1055,0.00045
257,1.95,1542.9,365.843695,1.625,0.372,0.97,1.186,0.00039
258,3.95,611.3,363.146743,1.531,0.534,0.972,1.42415,0.00043
259,4.57,1669.2,568.871967,1.837,0.434,0.734,1.48912,0.00038
260,5.95,1792.7,500.249117,1.794,0.589,0.842,1.47371,0.00039
261,3.94,1410.8,440.623943,1.89,0.532,0.909,1.46015,0.00037
262,4.93,1483.0,457.717394,1.298,0.369,0.891,1.48379,0.00041
263,1.46,1578.6,335.863199,1.205,0.361,0.988,1.1548,0.00038
264,2.48,1206.7,447.75235,1.12,0.27,0.902,1.29825,0.00042
265,5.17,487.4,397.935922,1.416,0.638,0.947,1.17807,0.00044
266,1.58,556.0,369.737475,1.363,0.589,0.968,1.03303,0.00049
267,1.54,1235.1,456.902645,1.451,0.578,0.892,1.07497,0.00038
268,4.6,554.3,352.333235,1.089,0.436,0.979,1.28833,0.0004
269,5.27,464.5,337.55879,1.313,0.338,0.987,1.53834,0.00041
270,3.08,1484.5,363.993183,1.963,0.448,0.971,1.34549,0.00037
271,2.47,670.8,522.611538,1.11,0.36,0.812,1.29648,0.00041
272,3.71,538.2,349.054935,1.61,0.466,0.981,1.46197,0.00038
273,4.15,1619.6,504.038181,1.621,0.315,0.837,1.40055,0.00041
274,8.71,1014.5,378.831047,1.409,0.423,0.961,1.57791,0.00039
275,7.31,746.2,407.111244,1.48,0.62,0.939,1.32517,0.0004
276,4.87,1467.8,395.701594,1.057,0.343,0.948,1.42626,0.00044
277,7.13,523.1,347.811709,1.913,0.471,0.982,1.59418,0.00039
278,1.96,1513.6,591.445926,1.896,0.725,0.683,1.14435,0.00048
279,2.85,834.8,576.595513,1.003,0.209,0.718,1.32894,0.00038
280,3.53,1073.2,452.594644,1.786,0.431,0.897,1.41859,0.00037
281,4.26,1086.7,342.712903,1.814,0.578,0.984,1.4733,0.00039
282,5.52,881.2,418.280941,1.387,0.578,0.929,1.2745,0.00045
283,1.74,1556.4,328.428391,1.348,0.538,0.992,1.11188,0.00042
284,3.78,1781.3,435.096024,1.263,0.422,0.914,1.37471,0.00044
285,5.33,1032.1,435.641818,1.327,0.389,0.913,1.50507,0.00041
286,7.78,1636.8,369.84726,1.093,0.203,0.967,1.54927,0.00037
287,5.55,1768.7,581.675456,1.827,0.755,0.707,1.23133,0.0004
288,6.98,1699.9,372.287094,1.197,0.517,0.966,1.217,0.00036
289,5.31,1446.4,348.344018,1.464,0.41,0.981,1.51723,0.00037
290,1.26,1512.0,459.369712,1.701,0.386,0.89,1.01302,0.00037
291,4.47,480.9,322.461663,1.954,0.69,0.995,1.46723,0.00041
292,7.5,1534.5,407.844688,1.856,0.399,0.938,1.57401,0.00041
293,8.5,950.6,522.133892,1.604,0.518,0.812,1.52602,0.00045
294,5.76,1096.5,542.316726,1.689,0.572,0.782,1.44894,0.0004
295,8.87,1395.3,315.260284,1.803,0.797,0.998,1.3087,0.00041
296,3.23,801.2,328.912986,1.198,0.24,0.992,1.31069,0.00031
297,6.23,558.1,491.523462,1.221,0.502,0.853,1.2795,0.00034
298,2.49,561.6,346.043356,1.726,0.56,0.983,1.35717,0.00044
299,7.49,1377.7,376.289638,1.58,0.63,0.963,1.3788,0.00043
300,3.27,1534.6,592.291599,1.744,0.537,0.681,1.37093,0.00044
301,6.77,574.3,326.363146,1.196,0.525,0.993,1.23594,0.00041
302,4.53,1748.8,328.071629,1.019,0.399,0.992,1.26018,0.00046
303,4.23,1677.3,579.293861,1.797,0.526,0.712,1.44211,0.00039
304,1.31,436.5,330.370743,1.746,0.352,0.991,0.92808,0.00035
305,8.24,982.5,381.191875,1.136,0.334,0.959,1.56102,0.00037
306,1.14,887.3,509.806204,1.213,0.491,0.83,0.94852,0.00042
307,5.28,1020.5,594.659722,1.182,0.312,0.675,1.48674,0.00038
308,3.47,1448.4,568.580806,1.22,0.253,0.735,1.38414,0.0004
309,6.11,779.0,418.200291,1.803,0.491,0.929,1.56303,0.00038
310,4.86,1346.4,552.459287,1.74,0.777,0.765,1.12697,0.0004
311,1.17,1774.3,348.77328,1.672,0.714,0.981,0.97669,0.00037
312,8.26,1710.4,411.739906,1.766,0.576,0.935,1.53757,0.00035
313,1.55,932.4,559.680536,1.274,0.511,0.752,1.01843,0.00042
314,3.78,869.6,575.084647,1.131,0.313,0.721,1.41883,0.00042
315,7.45,1619.0,456.791309,1.232,0.404,0.892,1.47887,0.00039
316,4.04,535.7,410.862334,1.814,0.533,0.936,1.48153,0.00047
317,3.57,785.1,543.971947,1.913,0.837,0.779,1.14996,0.00045
318,2.49,748.3,530.469018,1.768,0.716,0.8,1.1881,0.00041
319,2.95,1375.1,505.520548,1.116,0.462,0.835,1.10483,0.00045
320,5.35,1394.3,416.008354,1.826,0.803,0.931,1.22338,0.00048
321,2.45,1441.6,404.043925,1.765,0.812,0.942,1.01554,0.00043
322,6.24,1293.9,409.700633,1.189,0.416,0.937,1.42845,0.00036
323,7.83,1116.4,302.093678,1.168,0.291,1.003,1.59141,0.00037
324,6.79,1193.7,487.972721,1.824,0.496,0.857,1.56882,0.0004
325,6.84,1719.5,500.615553,1.704,0.712,0.842,1.28172,0.00047
326,1.99,1586.9,420.639338,1.364,0.451,0.927,1.24491,0.00036
327,5.71,644.1,387.990564,1.05,0.235,0.954,1.53117,0.00038
328,7.3,680.3,456.446743,1.043,0.211,0.893,1.5743,0.00038
329,2.86,585.6,520.553364,1.811,0.581,0.815,1.37931,0.00043
330,2.5,1454.5,343.797612,1.395,0.45,0.984,1.32239,0.00044
331,2.05,372.6,350.617486,1.721,0.676,0.98,1.24401,0.00038
332,1.33,605.2,490.368018,1.939,0.447,0.854,1.04079,0.00036
333,1.82,848.3,323.010582,1.029,0.388,0.994,1.1556,0.00041
334,3.14,913.1,416.197879,1.9,0.87,0.931,1.09059,0.00037
335,2.83,1441.5,330.99221,1.934,0.79,0.991,1.24724,0.0004
336,1.08,1749.5,525.125582,1.235,0.357,0.808,1.0295,0.00035
337,8.32,1749.8,577.513443,1.106,0.425,0.716,1.29096,0.0004
338,6.56,439.4,333.644011,1.837,0.618,0.989,1.54162,0.00039
339,1.39,451.0,341.370397,1.275,0.487,0.985,1.12181,0.00039
340,4.56,1604.4,357.489589,1.771,0.486,0.976,1.4935,0.0004
341,6.65,1332.4,386.320903,1.387,0.259,0.956,1.51089,0.00037
342,1.26,1094.6,416.734871,1.418,0.587,0.931,1.01156,0.00037
343,4.17,720.6,484.220692,1.202,0.487,0.862,1.23527,0.00042
344,4.62,1179.4,361.550042,1.438,0.41,0.973,1.49045,0.00038
345,8.61,1303.4,576.582474,1.288,0.567,0.718,1.19047,0.00037
346,5.43,1773.8,480.816677,1.444,0.326,0.866,1.51168,0.00041
347,3.4,1036.0,389.464342,1.581,0.343,0.953,1.36848,0.00039
348,8.69,900.2,389.849122,1.524,0.407,0.953,1.6122,0.00039
349,8.53,1586.5,471.678898,1.135,0.451,0.876,1.31651,0.0004
350,1.52,1199.6,423.113297,1.141,0.468,0.925,1.01745,0.00045
351,2.35,1646.9,573.761137,1.568,0.396,0.724,1.29332,0.00041
352,7.45,1067.8,436.331518,1.79,0.599,0.913,1.5219,0.00038
353,7.72,733.0,518.452149,1.806,0.577,0.818,1.53959,0.00039
354,3.52,1323.8,328.732662,1.373,0.263,0.992,1.31007,0.00039
355,2.3,853.1,502.282041,1.718,0.301,0.839,1.12523,0.00038
356,4.66,971.3,597.129362,1.285,0.394,0.668,1.4188,0.00042
357,3.63,1164.2,464.333433,1.349,0.257,0.884,1.34333,0.0004
358,6.79,1254.4,455.030553,1.6,0.478,0.894,1.54303,0.00037
359,5.03,1132.1,599.680618,1.104,0.435,0.66,1.19035,0.0004
360,8.38,1072.8,328.795497,1.456,0.395,0.992,1.60186,0.00038
361,8.18,1768.6,455.194789,1.623,0.321,0.894,1.58055,0.00035
362,6.38,1257.1,441.59393,1.785,0.356,0.908,1.52787,0.00039
363,7.66,542.5,475.764919,1.852,0.803,0.872,1.31509,0.00038
364,6.08,709.5,390.3846,1.412,0.584,0.952,1.31504,0.00043
365,3.5,1483.4,381.770993,1.861,0.542,0.959,1.43282,0.0004
366,6.46,1219.2,429.269323,1.448,0.387,0.919,1.55759,0.00038
367,4.47,1165.8,552.970776,1.222,0.475,0.764,1.24736,0.0004
368,2.87,485.4,358.952221,1.19,0.331,0.975,1.38718,0.00041
